fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,classe_real,classe_prevista,probabilidade_alta_qualidade,descricao_classe_real,descricao_classe_prevista
9.3,0.48,0.29,2.1,0.127,6.0,16.0,0.9968,3.22,0.72,11.2,0,0,0.49812422807713785,Baixa ou média qualidade,Baixa ou média qualidade
7.9,0.31,0.32,1.9,0.066,14.0,36.0,0.99364,3.41,0.56,12.6,0,1,0.8699794397425099,Baixa ou média qualidade,Alta qualidade
8.7,0.78,0.51,1.7,0.415,12.0,66.0,0.99623,3.0,1.17,9.2,0,0,0.02236298565347166,Baixa ou média qualidade,Baixa ou média qualidade
10.1,0.45,0.23,1.9,0.0819999999999999,10.0,18.0,0.99774,3.22,0.65,9.3,0,0,0.18890575114919098,Baixa ou média qualidade,Baixa ou média qualidade
7.2,0.635,0.07,2.6,0.077,16.0,86.0,0.99748,3.51,0.54,9.7,0,0,0.01644128284188268,Baixa ou média qualidade,Baixa ou média qualidade
8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,0,0,0.012361888857147079,Baixa ou média qualidade,Baixa ou média qualidade
7.9,0.65,0.01,2.5,0.078,17.0,38.0,0.9963,3.34,0.74,11.7,1,0,0.45825112383712957,Alta qualidade,Baixa ou média qualidade
7.4,0.64,0.17,5.4,0.168,52.0,98.0,0.99736,3.28,0.5,9.5,0,0,0.036791844162613635,Baixa ou média qualidade,Baixa ou média qualidade
8.2,0.635,0.1,2.1,0.073,25.0,60.0,0.99638,3.29,0.75,10.9,0,0,0.29097293299041954,Baixa ou média qualidade,Baixa ou média qualidade
7.4,0.47,0.46,2.2,0.114,7.0,20.0,0.99647,3.32,0.63,10.5,0,0,0.20998126349590154,Baixa ou média qualidade,Baixa ou média qualidade
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,0,0,0.08486253944830827,Baixa ou média qualidade,Baixa ou média qualidade
8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,0,0,0.13437034723153515,Baixa ou média qualidade,Baixa ou média qualidade
12.6,0.39,0.49,2.5,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,0,1,0.7273952144234326,Baixa ou média qualidade,Alta qualidade
7.3,0.52,0.32,2.1,0.07,51.0,70.0,0.99418,3.34,0.82,12.9,0,1,0.9153022448622371,Baixa ou média qualidade,Alta qualidade
6.1,0.4,0.16,1.8,0.069,11.0,25.0,0.9955,3.42,0.74,10.1,1,0,0.2577095069868786,Alta qualidade,Baixa ou média qualidade
9.9,0.74,0.19,5.8,0.111,33.0,76.0,0.99878,3.14,0.55,9.4,0,0,0.0852568911856657,Baixa ou média qualidade,Baixa ou média qualidade
9.8,0.25,0.49,2.7,0.088,15.0,33.0,0.9982,3.42,0.9,10.0,0,1,0.6628130617739905,Baixa ou média qualidade,Alta qualidade
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,0,0,0.06877872137913486,Baixa ou média qualidade,Baixa ou média qualidade
6.7,0.54,0.13,2.0,0.076,15.0,36.0,0.9973,3.61,0.64,9.8,0,0,0.05713460264896574,Baixa ou média qualidade,Baixa ou média qualidade
8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,0,0,0.02310698001618318,Baixa ou média qualidade,Baixa ou média qualidade
7.0,0.5,0.14,1.8,0.078,10.0,23.0,0.99636,3.53,0.61,10.4,0,0,0.14320903968825227,Baixa ou média qualidade,Baixa ou média qualidade
7.6,0.74,0.0,1.9,0.1,6.0,12.0,0.99521,3.36,0.59,11.0,0,0,0.17852771628554784,Baixa ou média qualidade,Baixa ou média qualidade
